item_id,relative,line_start,line_end,historical_status,verdict,reason,current_independent_evidence,original_text
FFH-0011,task_plan.md,30,30,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","- [x] `validate_request`：在 unknown-field 检查后新增 `_required_text(request.get(""company_query""), ""company_query"")`"
FFH-0012,task_plan.md,31,31,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","- [x] `validate_request`：market hint 非 None 时必须 ∈ {CN, HK, US}，否则 request_error"
FFH-0013,task_plan.md,32,32,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] `validate_handle`：新增 request_id 非空文本校验（code=upstream_error，与 handle 其他校验一致）
FFH-0014,task_plan.md,33,33,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] 删除死常量 `GAP_RECEIPT_SCHEMA_VERSION`、`DOWNLOAD_AUTHORIZATION_SCHEMA_VERSION`
FFH-0015,task_plan.md,34,35,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","- [x] 保留 `SUPPORTED_COMPANY_WIKI_CONTRACTS` 并改为 dict（原为 frozenset 不可下标），
  在 1.2 resolve/ensure schema 校验中真正使用（resolve/ensure 分别查表）"
FFH-0016,task_plan.md,38,38,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","- [x] `_validate_company_wiki_root` + `load_company_wiki_root`：全部 FilingFetchError 加 `code=""config_error""`（含 token 替换失败）"
FFH-0017,task_plan.md,39,39,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","- [x] `_resolved_company_identity`：全部 raise 加 `code=""identity_error""`（字段空值校验内联化以携带正确 code）"
FFH-0018,task_plan.md,40,41,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","- [x] `_run_company_wiki_json` 非零退出分类扩展：CatalogOperationLockedError → catalog_locked（现有）；
  RuntimeError+""paused"" → worker_paused（新增）；其他 → fatal（fail-closed）"
FFH-0019,task_plan.md,43,44,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","  - [x] 删除死分支 `if ""company_query"" not in request` 与恒真 `if ""company_query"" in request`；
        删除 `_identity_arguments` 中不可达的 entity/security_id 冲突检查"
FFH-0020,task_plan.md,45,45,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","  - [x] `timeout_seconds` 增加 `math.isfinite` 校验（消息改为 ""positive and finite""）"
FFH-0021,task_plan.md,46,46,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","  - [x] resolve 响应校验 `payload[""schema_version""] == SUPPORTED[...][""resolve_schema_version""]`，否则 upstream_error"
FFH-0022,task_plan.md,47,47,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","  - [x] ensure 响应校验 `resolution[""schema_version""] == SUPPORTED[...][""ensure_schema_version""]`，否则 upstream_error"
FFH-0023,task_plan.md,48,48,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","  - [x] ""source is not reusable: ..."" → `code=""not_found""`"
FFH-0024,task_plan.md,49,49,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","  - [x] ""did not return exactly one source handle"" → `code=""upstream_error""`"
FFH-0025,task_plan.md,50,50,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","  - [x] ""source lacks capture provenance"" → `code=""not_found""`（消息保留 missing_capture_fields 细节）"
FFH-0026,task_plan.md,51,52,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","- [x] `main()`：stdin / --request-file 的 JSON 解析失败、非 dict、文件不可读 →
  `FilingFetchError(code=""request_error"")` → exit 2"
FFH-0027,task_plan.md,53,53,checked_complete_or_pass_claim,supported_scoped,当前实现及隔离合同测试支持该局部修复；错误原因跨仓保真、deadline总时限另有缺口，不能扩大为端到端。,"filing-fetch/scripts/filing_contracts.py:99,350; scripts/fetch_filing.py:resolve_filing/_handle_from_resolution/main; tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] 退出码语义保持不变：FilingFetchError（任何 code）→ 2；意外异常 → 1；成功 → 0
FFH-0028,task_plan.md,56,56,checked_complete_or_pass_claim,historical_only,这是历史工作树、测试总数或操作经过；当前代码/测试已演化，不以今天测试伪证明当日运行。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验,- [x] `python -m unittest discover -s tests` 61 个 mock 测试全绿（含 live 1 个：test_cli_stdin_accepts_utf8_chinese_query）
FFH-0029,task_plan.md,57,57,checked_complete_or_pass_claim,historical_only,这是历史工作树、测试总数或操作经过；当前代码/测试已演化，不以今天测试伪证明当日运行。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验,- [x] `ruff check scripts tests` 通过
FFH-0030,task_plan.md,60,60,historical_requirement_or_finding,historical_only,这是历史工作树、测试总数或操作经过；当前代码/测试已演化，不以今天测试伪证明当日运行。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验,- 实现中途发现 `SUPPORTED_COMPANY_WIKI_CONTRACTS` 为 frozenset（dict 字面量被转键集）不可下标 → 改为 dict（首次运行 19 个测试 TypeError）
FFH-0031,task_plan.md,61,61,historical_requirement_or_finding,historical_only,这是历史工作树、测试总数或操作经过；当前代码/测试已演化，不以今天测试伪证明当日运行。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验,"- 现有 17 处 mock 响应补 `""schema_version"": ""1.0""`（16/24 空格两种缩进各命中一次 replace_all）"
FFH-0032,task_plan.md,65,65,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",## Phase 2 — mock 层测试扩充与去重 — 状态：completed
FFH-0033,task_plan.md,68,68,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_missing_company_query_is_request_error（含 code 断言）
FFH-0034,task_plan.md,69,69,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","- [x] test_blank_company_query_is_request_error（`""  ""` / `"" AMD ""`）"
FFH-0035,task_plan.md,70,70,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","- [x] test_invalid_market_hint_is_request_error（`market: ""XX""`）"
FFH-0036,task_plan.md,71,71,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_float_fiscal_year_is_request_error（`2026.0`）
FFH-0037,task_plan.md,72,72,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)","- [x] test_non_padded_as_of_date_is_request_error（`""2026-7-18""`）"
FFH-0038,task_plan.md,75,75,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_config_errors_carry_config_error_code（缺文件/坏 JSON/缺 source_catalog.yaml/缺目录，逐一断言 code）
FFH-0039,task_plan.md,76,76,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_identity_failures_carry_identity_error_code（ambiguous / verified=False / active=False / 坏 schema_version / 不支持 market）
FFH-0040,task_plan.md,77,77,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_missing_source_carries_not_found_code（missing/ambiguous/identity_conflict）
FFH-0041,task_plan.md,78,78,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_ensure_missing_carries_not_found_code
FFH-0042,task_plan.md,79,79,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_capture_not_ready_carries_not_found_code（消息含字段名 https_url/capture_trace）
FFH-0043,task_plan.md,80,80,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_multi_match_carries_upstream_error_code
FFH-0044,task_plan.md,81,81,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_worker_paused_maps_to_retryable_worker_paused（code/retryable=True/不自动重试 call_count==2/exit 2）
FFH-0045,task_plan.md,82,82,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_resolve_schema_version_mismatch_is_upstream_error
FFH-0046,task_plan.md,83,83,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_ensure_resolution_schema_version_mismatch_is_upstream_error
FFH-0047,task_plan.md,86,86,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_timeout_seconds_must_be_finite（inf / nan → ValueError）
FFH-0048,task_plan.md,87,87,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_subprocess_receives_remaining_deadline（timeout kwarg == 剩余预算 30.0）
FFH-0049,task_plan.md,88,88,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_deadline_exhausted_before_resolve_is_upstream_error（subprocess 不被调用）
FFH-0050,task_plan.md,89,89,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_catalog_locked_until_deadline_is_upstream_error（恒 locked → sleep(5)+sleep(3) 后耗尽）
FFH-0051,task_plan.md,90,90,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_worker_paused_is_not_auto_retried（sleep 不被调用）
FFH-0052,task_plan.md,93,93,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_published_date_equal_as_of_date_is_accepted
FFH-0053,task_plan.md,94,94,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_relative_canonical_path_is_resolved_against_wiki_root
FFH-0054,task_plan.md,95,95,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_bool_byte_size_is_rejected
FFH-0055,task_plan.md,96,96,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_single_non_dict_match_is_rejected（code=upstream_error）
FFH-0056,task_plan.md,97,97,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_missing_request_id_in_resolution_is_rejected（配合 1.1 新校验，code=upstream_error）
FFH-0057,task_plan.md,98,98,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_handle_extra_fields_are_tolerated
FFH-0058,task_plan.md,101,101,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_main_request_file_happy_path（stdin 被忽略）
FFH-0059,task_plan.md,102,102,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_main_request_file_invalid_json_is_request_error_exit_2
FFH-0060,task_plan.md,103,103,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_main_empty_stdin_is_request_error_exit_2
FFH-0061,task_plan.md,104,104,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] test_main_allow_download_flag_builds_ensure_command
FFH-0062,task_plan.md,107,107,checked_complete_or_pass_claim,supported_scoped,被删旧名称当前不存在，替代identity/schema测试通过；这是测试清理，不是新增业务覆盖。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip); tests/test_fetch_filing.py",- [x] 合并 test_identity_response_not_resolved_is_rejected → 删除；保留测试补 code=identity_error 断言
FFH-0063,task_plan.md,108,108,checked_complete_or_pass_claim,supported_scoped,被删旧名称当前不存在，替代identity/schema测试通过；这是测试清理，不是新增业务覆盖。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip); tests/test_fetch_filing.py",- [x] 合并 test_upstream_unknown_schema_fails_closed → 删除
FFH-0064,task_plan.md,109,109,checked_complete_or_pass_claim,supported_scoped,已重跑对应隔离测试；断言限定所构造的请求/返回/clock，不证明生产provider或所有时间交错。,"tests/contracts.stdout.txt (280 passed, 78 subtests; live excluded; symlink skip)",- [x] 改名 test_main_fatal_error_exit_code → test_main_cli_accepts_fractional_timeout
FFH-0065,task_plan.md,112,112,checked_complete_or_pass_claim,historical_only,这是历史工作树、测试总数或操作经过；当前代码/测试已演化，不以今天测试伪证明当日运行。,历史文档叙述/收据，不等于本轮重新执行；当前版本须另验,- 61 → 88 tests 全绿；ruff clean
FFH-0066,task_plan.md,116,116,checked_complete_or_pass_claim,historical_only,历史13场景仅隔离company_raw及no-op provider；当前未重跑该旧矩阵。样本/断言改变保留为范围限制，不继承生产通过。,filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope; 历史文档叙述/收据，不等于本轮重新执行；当前版本须另验,## Phase 3 — 隔离实例真实 E2E — 状态：completed
FFH-0067,task_plan.md,119,120,checked_complete_or_pass_claim,supported_scoped,当前fixture仍可见JSON launcher、no-op adapter及canonical HK目录；此处验证fixture设计，不能证明任意真实别名/目录。,filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,"- [x] tests/e2e_support/isolated_wiki.py：布局按计划；**补充 company_wiki.json**（filing-fetch 的
  --config 是 JSON 启动配置，非 source_catalog.yaml——首次运行 13 个 config_error 后修正）"
FFH-0068,task_plan.md,121,122,checked_complete_or_pass_claim,supported_scoped,当前fixture仍可见JSON launcher、no-op adapter及canonical HK目录；此处验证fixture设计，不能证明任意真实别名/目录。,filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,"- [x] source_acquisition.yaml 用 **no-op 适配器**（输出 schema_version/status/adapter/candidates 信封；
  第 2 次失败 adpater envelope 缺 schema_version/status，第 3 次缺 adapter 身份——逐层对齐 json_command_v1 契约）"
FFH-0069,task_plan.md,123,125,checked_complete_or_pass_claim,supported_scoped,当前fixture仍可见JSON launcher、no-op adapter及canonical HK目录；此处验证fixture设计，不能证明任意真实别名/目录。,filing-fetch/tests/e2e_support/isolated_wiki.py:synthetic seeds/no-op adapters; e2e/run_companies_reuse_only_e2e.py:scope,"- [x] 种子：CN 宁德时代 / US Apple Inc / HK 腾讯 → **HK 目标目录改为 canonical""騰訊控股""**
  （生产目录""腾讯""简体 vs canonical 繁体不匹配 = D15 观测；旧 sidecar 无 company_name，
  目录名兜底不成立 → 场景 3 改为 canonical 目录下验证旧 sidecar https→capture_ready）"
