entity,market,kind,period_start,period_end,fiscal_year,provider,id,filed_at,accepted_at,amended,url,case_id,case_name,local_context,remote_context
ACME,US,annual_report,2021-07-01,2022-06-30,2022,fake-provider,miss-p3,2026-04-01,2026-04-01,false,https://example.org/filings/miss-p3.pdf,C14,G-D4 3缺口全批完成,"local: 无 (空 catalog)","remote: 3 个不同期候选 P1(2023-07-01→2024-06-30)/P2(2022-07-01→2023-06-30)/P3(2021-07-01→2022-06-30), 均可解析; as_of=2026-07-31"
ACME,US,annual_report,2024-07-01,2025-06-30,2025,fake-provider,miss-01,2026-04-01,2026-04-01,false,https://example.org/filings/miss-01.pdf,C15,G-D4 9缺口截断(max_batch=8),"local: 无 (空 catalog)","remote: 9 个不同期候选 miss-01..miss-09(9 个连续年度期); as_of=2026-07-31"
ACME,US,annual_report,2023-07-01,2024-06-30,2024,fake-provider,miss-02,2026-04-01,2026-04-01,false,https://example.org/filings/miss-02.pdf,C15,G-D4 9缺口截断(max_batch=8),"local: 无 (空 catalog)","remote: 9 个不同期候选 miss-01..miss-09(9 个连续年度期); as_of=2026-07-31"
ACME,US,annual_report,2022-07-01,2023-06-30,2023,fake-provider,miss-03,2026-04-01,2026-04-01,false,https://example.org/filings/miss-03.pdf,C15,G-D4 9缺口截断(max_batch=8),"local: 无 (空 catalog)","remote: 9 个不同期候选 miss-01..miss-09(9 个连续年度期); as_of=2026-07-31"
ACME,US,annual_report,2021-07-01,2022-06-30,2022,fake-provider,miss-04,2026-04-01,2026-04-01,false,https://example.org/filings/miss-04.pdf,C15,G-D4 9缺口截断(max_batch=8),"local: 无 (空 catalog)","remote: 9 个不同期候选 miss-01..miss-09(9 个连续年度期); as_of=2026-07-31"
ACME,US,annual_report,2020-07-01,2021-06-30,2021,fake-provider,miss-05,2026-04-01,2026-04-01,false,https://example.org/filings/miss-05.pdf,C15,G-D4 9缺口截断(max_batch=8),"local: 无 (空 catalog)","remote: 9 个不同期候选 miss-01..miss-09(9 个连续年度期); as_of=2026-07-31"
ACME,US,annual_report,2019-07-01,2020-06-30,2020,fake-provider,miss-06,2026-04-01,2026-04-01,false,https://example.org/filings/miss-06.pdf,C15,G-D4 9缺口截断(max_batch=8),"local: 无 (空 catalog)","remote: 9 个不同期候选 miss-01..miss-09(9 个连续年度期); as_of=2026-07-31"
ACME,US,annual_report,2018-07-01,2019-06-30,2019,fake-provider,miss-07,2026-04-01,2026-04-01,false,https://example.org/filings/miss-07.pdf,C15,G-D4 9缺口截断(max_batch=8),"local: 无 (空 catalog)","remote: 9 个不同期候选 miss-01..miss-09(9 个连续年度期); as_of=2026-07-31"
ACME,US,annual_report,2017-07-01,2018-06-30,2018,fake-provider,miss-08,2026-04-01,2026-04-01,false,https://example.org/filings/miss-08.pdf,C15,G-D4 9缺口截断(max_batch=8),"local: 无 (空 catalog)","remote: 9 个不同期候选 miss-01..miss-09(9 个连续年度期); as_of=2026-07-31"
ACME,US,annual_report,2016-07-01,2017-06-30,2017,fake-provider,miss-09,2026-04-01,2026-04-01,false,https://example.org/filings/miss-09.pdf,C15,G-D4 9缺口截断(max_batch=8),"local: 无 (空 catalog)","remote: 9 个不同期候选 miss-01..miss-09(9 个连续年度期); as_of=2026-07-31"
